name,slug,city,country,venue,website,startDate,endDate,status,approvalStatus,description
SUR FOTOLIBROS,sur-fotolibros-2027,Buenos Aires,Argentina,,https://www.instagram.com/sur.artexarte/,2027-05-13,2027-05-16,draft,pending,"Photobook gathering in Buenos Aires with presentations, talks, workshops, screenings, exhibitions, and panel discussions."
Arles Books Fair,arles-books-fair-2026,Arles,France,,https://www.rencontres-arles.com/en/arles-books-fair-2026,2026-07-07,2026-07-11,draft,pending,"Organized by Photobook France — eighty international publishing houses focused on photography, plus signings, launches, and panels. Free entry. Source: LensCulture."
Paris Photo,paris-photo-2026,Paris,France,Grand Palais,https://www.parisphoto.com/,2026-11-12,2026-11-15,draft,pending,"Major photography fair; Book sector features photography books, limited editions, and artist’s books. Ticketed entry. Source: LensCulture."
Offprint Paris,offprint-paris-2026,Paris,France,,https://www.offprint.org,2026-11-12,2026-11-15,draft,pending,LUMA / Offprint fair during Paris Photo week — publishers across visual arts and design. Free entry. Source: LensCulture.
Polycopies,polycopies-2026,Paris,France,Concorde-Atlantique,http://www.polycopies.net/,2026-11-11,2026-11-15,draft,pending,Photobook celebration on the Concorde-Atlantique boat and Seine quays during Paris Photo week. Free entry. Source: LensCulture.
"Bold, The Self-Published Photobook Weekend",bold-self-published-photobook-weekend-2027,Paris,France,,https://www.henricartierbresson.org/en/rencontres/bold-the-self-published-photobook-weekend/,2027-01-01,2027-01-31,draft,pending,"Henri Cartier-Bresson Foundation weekend celebrating self-published books with installations, workshops, and talks. Month approximate (January 2027)."
Photo London,photo-london-2027,London,UK,,https://photolondon.org/,2027-05-13,2027-05-16,draft,pending,UK’s largest photography fair with a dedicated publishers section (40+ exhibitors) and talks. Ticketed entry.
Offprint London,offprint-london-2027,London,UK,,https://www.offprint.org/en/,2027-05-14,2027-05-16,draft,pending,Offprint fair during Photo London week — visual arts and design publishers plus public programming. Free entry.
A Bigger Book Fair (Peckham),a-bigger-book-fair-peckham-2027,London,UK,,https://www.peckham24.com/a-bigger-book-fair,2027-05-14,2027-05-16,draft,pending,"Peckham24 photobook fair coinciding with Photo London — exhibitions, talks, and books in South London. Free entry."
Glue Book Fair,glue-book-fair-2026,London,UK,ICA,https://www.ica.art/talks/glue-2026,2026-09-12,2026-09-13,draft,pending,"ICA’s annual book fair with 90+ publishers, workshops, launches, exhibition, and talks. Free entry."
Books on Photography,books-on-photography-bristol-2026,Bristol,UK,Martin Parr Foundation,https://bopbristol.org/,2026-10-17,2026-10-18,draft,pending,"Martin Parr Foundation weekend — book fair, exhibitions, artist talks, and signings. Free entry."
CENTRAL Photobook Festival,central-photobook-festival-2026,Birmingham,UK,,https://centralbhx.cargo.site/,2026-10-23,2026-10-24,draft,pending,"Birmingham photobook festival with fair, talks, and exhibits. Free entry."
FORMAT Photobook Market,format-photobook-market-2027,Derby,UK,,https://formatfestival.com/,2027-03-11,2027-04-11,draft,pending,Photobook market alongside the FORMAT festival of contemporary photography. Free entry.
Tsundoku,tsundoku-2026,Dublin,Ireland,International Centre for the Image,https://tsundoku.ie/,2026-04-14,2026-04-17,draft,pending,"PhotoIreland’s Tsundoku Art Book Fair at the International Centre for the Image — talks, workshops, and launches. Free entry."
Dear Books,dear-books-2026,Amsterdam,Netherlands,,https://unfair.nl/dearbooks/,2026-09-17,2026-09-20,draft,pending,Accompanying Unfair — 50 publishers and art book makers from around the world. Free entry.
Unseen Photo Bookmarket,unseen-photo-bookmarket-2027,Rotterdam,Netherlands,,https://unseenphoto.com/bookmarket,2027-03-18,2027-03-21,draft,pending,Book market of ~40 photobook publishers during Art Rotterdam / Unseen Photo. Free entry to the book market.
BLIK!,blik-2026,Aarhus,Denmark,,https://blikfest.org/,2026-10-28,2026-11-01,draft,pending,"Festival dedicated to the photographic book — talks, installations, curated books and stores. Free entry."
Photobook Mania,photobook-mania-2026,Bologna,Italy,,https://phmuseum.com/photobook-mania/2026,2026-10-03,2026-10-04,draft,pending,"During PhMuseum Days — curated independent publishers, exhibitions, workshops, and presentations. Free entry."
Sprint Milano,sprint-milano-2026,Milan,Italy,,https://www.sprintmilano.org/,2026-11-27,2026-11-29,draft,pending,"Artists’ books fair with programming and workshops; also organizes spin-offs in Milan, Turin, and beyond. Free entry."
Brussels Ass Book Fair,brussels-ass-book-fair-2026,Brussels,Belgium,,https://kanal.brussels/en/calendar/brussels-ass-book-fair-2026,2026-12-04,2026-12-06,draft,pending,"Sister fair to Paris Ass Book Fair — independent art publishing with space for LGBTQIA+ projects, live events, and talks. Free entry."
Miss Read Berlin,miss-read-berlin-2026,Berlin,Germany,,https://missread.com/,2026-06-26,2026-06-28,draft,pending,Since 2009 — 200+ exhibitors for one of the most international gatherings in independent publishing. Free entry.
Photobook Summer,photobook-summer-2026,Berlin,Germany,,https://musuku.de/en/photo-book-summer/,2026-07-17,2026-09-22,draft,pending,"Festival dedicated to the photobook as artistic medium — exhibitions, workshops, and concluding Photo Book Days. Free entry."
Leipzig Photobook Festival,leipzig-photobook-festival-2026,Leipzig,Germany,,https://dienacht.eu/leipzig-photobook-festival,2026-03-07,2026-03-08,draft,pending,"Organized by dienacht e.V. — exhibitions, talks, and a European photobook market. Free entry."
Thousandfold Photobook Fair,thousandfold-photobook-fair-2026,Berlin,Germany,,https://dienacht.eu/thousandfold,2026-09-12,2026-09-13,draft,pending,Self-sustaining fair collaborating with festivals; September edition alongside Photo Book Summer in Berlin. Free entry.
Photobooks Switzerland,photobooks-switzerland-2026,Geneva,Switzerland,,https://www.centrephotogeneve.ch/exhibitions/photobooks-switzerland-2026,2026-04-24,2026-04-26,draft,pending,"Workshops, two-day fair, exhibition, talks, and Dummy Clinic. Free entry."
P.A.G.E.S,pages-geneva-2026,Geneva,Switzerland,,https://www.p-a-g-e-s.ch/,2026-05-08,2026-05-09,draft,pending,Platform for art and design publications with launches and Publishing Speed Dating. Free entry.
Booklette,booklette-2026,Vevey,Switzerland,,https://www.images.ch/,2026-09-12,2026-09-13,draft,pending,"Images Vevey and Photo Elysée fair — European photography publishers, signings, tours, and raclette. Free entry. Source: LensCulture."
I Never Read Art Basel,i-never-read-art-basel-2027,Basel,Switzerland,,https://www.ineverread.com/,2027-06-01,2027-06-30,draft,pending,"Book fair accompanying Art Basel week — international publishers, talks, tours, presentations. Month approximate (June 2027). Free entry."
Volumes Zurich Art Publishing Days,volumes-zurich-2026,Zurich,Switzerland,,https://www.volumeszurich.ch/,2026-11-21,2026-11-22,draft,pending,"Independent publishers and artists with performances, installations, workshops, and projections. Free entry."
Paper Photo Festival,paper-photo-festival-2026,Sosnowiec,Poland,Zamek Sielecki,https://paperphoto.pl,2026-09-18,2026-09-20,draft,pending,"International festival at Zamek Sielecki — book fair, lectures, launches, exhibitions, and dummy award. Free entry."
Vienna Art Book Fair,vienna-art-book-fair-2027,Vienna,Austria,,https://viennaartbookfair.com/,2027-10-01,2027-10-31,draft,pending,"Platform for artists, collectives, self-publishers, small presses, and collectors. Month approximate (October 2027) — check viennaartbookfair.com. Free entry."
Athens Photo Festival,athens-photo-festival-2026,Athens,Greece,,https://photofestival.gr/aphf26/,2026-06-10,2026-07-26,draft,pending,"Annual photography festival with exhibitions, portfolio reviews, and a book program including awards. Free entry."
Athens Art Book Fair,athens-art-book-fair-2026,Athens,Greece,,https://athensartbookfair.gr/,2026-09-25,2026-09-27,draft,pending,Artist-run fair showcasing artist publications with a focus on Greece and the Balkans. Free entry. Source: LensCulture.
Art Photo Bcn Photobook Market,art-photo-bcn-photobook-market-2026,Barcelona,Spain,,https://artphotobcn.com/festival/photobook-market/,2026-05-09,2026-05-10,draft,pending,"Invitation-only photobook market accompanying Art Photo Bcn — talks, round tables, and signings. Free entry."
Fiebre Photobook,fiebre-photobook-festival-2026,Madrid,Spain,,https://fiebrephotobook.com/,2026-09-18,2026-09-20,draft,pending,"Spain’s first festival specialized in photobooks — market, presentations, workshops, award, and talks. Free entry. Source: LensCulture."
ArtsLibris ARCOmadrid,artslibris-arcomadrid-2026,Madrid,Spain,,https://artslibris.cat/en/,2026-03-04,2026-03-08,draft,pending,"ArtsLibris publishing fair specializing in artist publications, photobooks, and self-publishing (Madrid edition). Free entry."
ArtsLibris ARCOlisboa,artslibris-arcolisboa-2026,Lisbon,Portugal,,https://artslibris.cat/en/,2026-05-28,2026-05-31,draft,pending,"ArtsLibris publishing fair specializing in artist publications, photobooks, and self-publishing (Lisbon edition). Free entry."
ArtsLibris Barcelona,artslibris-barcelona-2026,Barcelona,Spain,,https://artslibris.cat/en/,2026-10-30,2026-11-01,draft,pending,"ArtsLibris publishing fair specializing in artist publications, photobooks, and self-publishing (Barcelona edition). Free entry."
border_less ART BOOK DAYS,border-less-art-book-days-2027,Istanbul,Turkey,,https://www.border-l-e-s-s.com/art-book-days,2027-05-01,2027-05-31,draft,pending,"Istanbul event bringing together artists, galleries, and institutions working in publication formats. Month approximate (May 2027). Free entry."
Tokyo Art Book Fair,tokyo-art-book-fair-2027,Tokyo,Japan,,https://tokyoartbookfair.com/en/,2027-01-21,2027-01-31,draft,pending,"Largest art book fair in Asia, held across two weekends — exhibitions, artist talks, and film screenings. Free entry. Source: LensCulture."
Kyotographie Photobook Fair,kyotographie-photobook-fair-2026,Kyoto,Japan,,https://www.kyotographie.jp/en/photobook_fair/,2026-05-09,2026-05-10,draft,pending,Organized by KYOTOGRAPHIE and Kyoto Okazaki Tsutaya Books — 50+ publishers from Japan and beyond. Free entry.
JJOKJI,jjokji-2026,Seoul,South Korea,,https://artbookmarket.com/,2026-09-04,2026-09-06,draft,pending,"Seoul book market for photobooks, zines, artbooks, and independent media. Free entry."
UNFOLD Art Book Fair Shanghai,unfold-shanghai-2026,Shanghai,China,,https://www.instagram.com/shanghaiartbookfair/,2026-06-11,2026-06-14,draft,pending,"Traveling UNFOLD art book fair — photography, illustration, and design publishers with workshops and talks. Free entry."
UNFOLD Art Book Fair Shenzhen,unfold-shenzhen-2026,Shenzhen,China,,https://www.instagram.com/shanghaiartbookfair/,2026-08-06,2026-08-09,draft,pending,"Traveling UNFOLD art book fair — photography, illustration, and design publishers with workshops and talks. Free entry."
UNFOLD Art Book Fair Macau,unfold-macau-2026,Macau,China,,https://www.instagram.com/shanghaiartbookfair/,2026-11-27,2026-11-29,draft,pending,"Traveling UNFOLD art book fair — photography, illustration, and design publishers with workshops and talks. Free entry."
Kuala Lumpur Art Book Fair,kuala-lumpur-art-book-fair-2026,Kuala Lumpur,Malaysia,,https://klartbookfair.com/,2026-11-27,2026-11-29,draft,pending,"Artists, illustrators, designers, independent publishers, and printmakers with talks and workshops. Free entry."
Singapore Art Book Fair,singapore-art-book-fair-2026,Singapore,Singapore,,https://singaporeartbookfair.org/,2026-08-28,2026-08-30,draft,pending,"First art book fair in Southeast Asia — artists, designers, small presses, galleries, and zinemakers. Free entry."
Focal Point,focal-point-sharjah-2026,Sharjah,UAE,,https://www.sharjahart.org/en/,2026-12-11,2026-12-13,draft,pending,"Non-commercial fair hosted by Sharjah Art Foundation for creative producers, bookmakers, and artist presses. Free entry."
PaperBack Art Book Fair,paperback-art-book-fair-2026,Riyadh,Saudi Arabia,,https://www.instagram.com/paperback_sa/,2026-11-05,2026-11-07,draft,pending,"Presented by Diriyah Biennale Foundation — contemporary regional publishers, zine creators, and creative encounters. Free entry."
Same Page Art Book Fair,same-page-art-book-fair-2026,Melbourne,Australia,,https://samepageartbookfair.com/,2026-10-24,2026-10-25,draft,pending,"Independent imprints, publishers, and distributors — organized by Gertrude and Perimeter. Free entry."
Melbourne Art Book Fair,melbourne-art-book-fair-2027,Melbourne,Australia,,https://artbookfair.melbourne/,2027-05-20,2027-05-30,draft,pending,"Local and international publishers, artists, and designers with workshops, launches, and archive tours. Free entry."
Ballarat International Foto Festival,ballarat-international-foto-festival-2027,Ballarat,Australia,,https://ballaratfoto.org/,2027-08-21,2027-10-17,draft,pending,"Biennial photography festival with exhibitions, workshops, and a Photobook Day / book fair. Free entry."
Photobook N/Z,photobook-nz-2026,Wellington,New Zealand,,https://www.photobooknz.com,2026-08-06,2026-08-09,draft,pending,"National photobook festival celebrating small-press photobooks — fair, launches, signings, and workshops. Free entry. Source: LensCulture."
Tanja Book & Print Fair,tanja-book-print-fair-2026,Tangier,Morocco,,https://think-tanger.com/,2026-08-02,2026-08-03,draft,pending,"Weekend fair for self-publishing artists, photographers, illustrators, designers, and independent publishers. Free entry."
African Art Book Fair,african-art-book-fair-2026,Dakar,Senegal,,https://africanartbookfair.com/african-art-book-fair-2026/,2026-11-19,2026-11-22,draft,pending,"Independent publishing fair and discussion series focusing on photography, art, design, music, and activism. Free entry."
Cairo Art Book Fair,cairo-art-book-fair-2026,Cairo,Egypt,,https://cairoartbookfair.com/?lang=ar,2026-12-16,2026-12-19,draft,pending,"Highlights zines, graphic design, and artist publications from across the region. Free entry."
